This is supposed to be a CSV! Eventually it should be passed params and get all that data too!
vol_ox, 0.26714076271999043
vol_fuel, 0.2235009812728118
P_pres, 31026420.0
P_tank, 5860546.0
vol_pres, 0.11425903627229642
t_prop, 0.006423024999999999
weight_fueltank, 56.69109313782186
weight_oxtank, 67.27259172346146
heightrocket, 12.199926822731538
heightfuel, 3.278721975606276
heightox, 3.918910263043229
thrust chamber weight, 48.69756914974814
avbay weight, 43.933041075673145
foxhole weight, 22.507279859127294
Structures weight, 97.82436444124762
inert mass, 547.9636233726188
fuelmass, 177.42507227627266
oxmass, 293.42417099604285
lambda (massfrac), 0.4621547868971023
totalmass, 1018.8128666449343
thrust, 40050.91501559885
time, 30.524923356500366
impulse, 1222551.1112088645
rho_ox, 1098.3878611726582
rho_fuel, 793.844712742905
pc, 4826332.0
pinj, 4958912.278616242
pe, 101352.972
g, 9.81
rm, 1.6537920330625273
phi, 1.2148760531303646
at, 0.005512325770025226
rt, 0.04188827745879157
cr, 4
rc, 0.08377655491758314
ac, 0.022049303080100904
l_star, 1.016
mol_weight, 23.1777835741778
gamma, 1.1304024968822588
gamma_exit, 1.1806180190691362
gamma_throat, 1.129202955819141
isp, 264.67696167458115
temp_c, 3351.9784531526493
rg, (0.35870556705269124,)
pr_throat, 0.47781701040047597
rho_throat, 2.4385366906359933
temp_e, 2181.5542216734275
v_exit, 2728.795122134642
a_exit, 936.5417950425042
mach_exit, 2.9136928395286383
temp_throat, 3188.713921814236
p_throat, 8446381.602630215
v_throat, 1130.058802799089
mdot, 15.425075364588814
mdot_ox, 9.61260959017469
mdot_fuel, 5.8124657744141235
er, 7.402392750099761
cstar, 1643.03591043987
cf, 1.5054293310006182
c_eff, NONE
rho_av, NONE
vc, NONE
theta_con, NONE
lc, 0.15448046243131927
theta_div, NONE
ln_conical, 0.2784902379695013
ln_bell, NONE
throat_radius_curvature, 0.0127
ae, 0.040804400316222816
re, 0.11396685492043165
nv, NONE
nvstar, NONE
nf, NONE
nw, NONE
fuelname, Ethanol
oxname, LOX
CEA, <rocketcea.cea_obj_w_units.CEA_Obj object at 0x7fe9f55a0850>
pambient, 101352.972
cf_efficiency, 0.95
isp_efficiency, 0.95
lstar, 1
dp, 1034214.0
prns, 0.4732372677683976
viscosityns, 1.096523059487068e-06
cpns, 5917.490454036485
